,modern,playful,clumsy,sharp,graceful,angular,strong,attention-grabbing,artistic,attractive,complex,calm,friendly,happy,legible,sloppy,warm,delicate,charming,formal,wide,disorderly,gentle,technical,boring,pretentious,bad,dramatic,thin,fresh,soft
Futura-Medium,34.5106477108,32.2715151762,21.5212675253,56.4955328774,69.8385994899,44.0312747058,72.6222810694,43.7344604763,36.6693068004,45.9316108745,16.7709263496,63.2879751901,67.3951984932,54.8249758063,83.8544820758,1.52695515273,58.8998061604,29.4217832377,49.6009815368,71.2300126412,49.2459240928,24.8478884467,82.8348892766,22.0870469491,62.4550151661,53.3194646457,38.7895048747,29.1748959967,45.3129161243,96.3741362278,55.2234584666
GEInspira,30.5926919922,27.3578917123,15.9862882484,62.6267643596,72.2903743117,30.253029358,38.5851658047,24.6216755668,18.7565070245,35.6904332077,23.7637386755,79.9535556625,78.5155203252,43.0287206033,63.1444462481,28.1126456698,63.6622457399,29.9561722474,52.4940577801,73.2347008753,43.9766651741,27.8500633593,82.5362734732,16.4006005872,65.2236609339,2.9726778195,44.3578629481,32.8168773115,66.7176023303,84.3394741126,72.9287254221
GFSDidot-Regular,11.4110992033,18.5619483008,20.7879275496,90.7008155302,64.0198106339,17.0807165358,48.0165282608,23.9107814641,28.9173308064,38.8449992478,25.5350341628,74.1134186284,84.6617577888,51.3385102081,64.848517002,31.9931865055,51.2892400345,62.5567468624,63.2754779342,89.7277582266,46.6902512413,15.672528472,90.4421939748,41.5580449144,46.823812366,8.71587251115,20.8708705018,24.7910552057,59.4139367186,82.9822232502,83.9418493831
GFSNeohellenic-Italic,48.1444390764,54.4119518767,41.1683015963,71.490174969,78.3345326781,80.0718026242,36.7301592055,37.0492182407,51.1119797153,58.3652820433,34.961891597,88.6758919788,85.8768332035,62.3409712147,74.3609596198,58.9025836455,32.8564804923,60.6132035844,60.6933752084,51.5345920658,40.6161735351,45.8569072856,92.1440047253,34.3774389811,36.255126931,26.5465936247,32.5665987052,37.7297697293,92.5716433464,69.547959675,79.6028183958
GentiumBasic,26.5919439289,18.6408044899,16.2195310069,67.0540443299,51.3847493836,50.7976370424,40.6995577768,26.8936448645,33.2668462946,41.5044263785,29.5812915366,79.0846168845,86.8377546245,51.308670897,69.6893025401,38.9154000997,61.0702516901,47.7799004335,49.4470833478,96.0800204957,42.943076613,17.0651346798,91.9845129984,26.9983823034,52.0741840611,26.8005639898,22.7669701689,18.4243584619,66.646618873,89.0169870675,74.0998957278
GentiumBasic-Bold,34.8783288367,32.488518135,33.4542003775,78.4116787092,77.1293176652,47.5627388815,60.5370248184,49.4765356753,32.1713821167,54.9265631291,38.7360954528,60.6332204334,85.8222988223,43.7132935379,91.7819817224,28.8300622612,64.4754868115,55.5175856821,74.7126881518,70.3960150792,47.0761537552,25.1467478027,92.1026690226,50.8864618555,31.7599098527,49.5859965262,31.9497750771,35.825053326,45.2431872857,82.1501579803,51.9205772688
GentiumBasic-BoldItalic,77.9340646379,63.7223240176,36.7457554552,69.0815594376,84.4130591619,65.2242697175,49.3222846254,64.2255719484,76.4992155112,86.4307559672,60.5371013383,69.9911324731,74.0285213377,86.3580243062,81.8323746281,53.3508056313,99.5310894971,66.1661147321,83.038774354,75.5826686502,43.4439049947,28.8899591669,86.6793028,75.2603167941,23.1420387795,73.2298992707,25.8409906575,57.2068310647,48.3997277017,88.0391995257,79.9866878533
GillSansStd,36.4400343646,30.6368373924,3.28931836774,81.4724098331,46.4155006594,28.0232252555,57.3456725484,39.1791016171,16.7037736424,44.3180276694,15.1621144062,85.3872143781,72.5643638037,38.9243042108,82.3384042475,19.6621405376,51.0987690238,43.1413181522,53.0897952902,81.1424574315,45.1071492931,15.4018093743,98.1471384395,26.806333399,32.0882556076,42.4239205558,2.76567382729,19.1182804238,56.9548219503,78.2783851887,64.2683250083
GillSansStd-Bold,34.580358716,25.1463933972,36.7159402572,49.4496843837,64.0046332896,12.5146351627,71.946190195,71.1344414693,25.394886392,49.9388567964,40.1188172151,67.3339730306,73.7532344833,32.9162302727,79.8611468167,22.0871637042,75.7513646198,30.6580177498,61.9974903887,66.7913167992,49.9250007597,18.7346777277,81.287149334,41.7585566899,41.5704853042,39.9077418894,38.5614384143,41.7855988019,40.7619620011,81.3595370822,51.50062161
GillSansStd-BoldItalic,51.4965307914,50.8190070733,35.5918475242,51.5085367371,65.7029029836,50.8455509421,69.1546614179,58.2463223456,41.3269034253,70.2696004297,42.5266253163,60.5822290853,67.2243599985,45.0216269441,62.2567595529,60.3061695167,83.52521798,45.6780569611,69.9609997622,45.6669226305,50.547260552,31.540336649,81.2164517309,44.7583224483,30.6056659591,33.3707452707,32.818848356,53.0622377073,40.5214351419,86.7902799543,42.3383874098
GoudyBookletter1911,35.7905849684,29.9939552234,13.2868316357,63.6069685877,76.4955816087,55.4263150189,42.321653034,40.9691482105,25.4459809039,51.4763135935,36.5132639541,89.5713643677,79.0257895912,40.1970188465,65.407992585,38.9294794407,56.1379410585,61.7118787718,68.2237967958,67.9131747362,44.6361772624,23.5167207731,88.080638218,33.0674988669,42.1127378346,32.5344018178,9.85039928781,33.0413007801,57.6967743891,90.229150618,78.759243233
GreatVibes-Regular,73.7343353913,87.3897798149,51.1073328822,60.9911215749,86.7841233491,89.2565912859,31.4646255377,58.4947906402,100.0,58.1484906579,86.1420970579,64.8070245391,71.5502864424,70.3774999729,44.9984491815,81.772559983,60.2662529273,100.0,79.8441356025,49.4051214998,31.2972131719,49.6964194846,88.8076717006,74.4847079415,21.1856347516,65.4906245662,33.4366769048,88.0567074421,70.6696063592,66.8141727465,86.3173654592
HeadlandOne-Regular,47.3908644301,43.4284850118,25.2633140566,54.7210152035,66.2766766341,44.9000392644,65.7614356185,58.5760550986,37.4556882955,43.8147748682,37.1455968881,81.3344811445,72.7146604278,39.938414997,89.437915619,25.9626312915,78.3511092591,51.0809409012,55.1260602674,63.0239985047,53.3379991721,18.4323185302,90.839972156,67.316093863,36.2549264631,31.3367455164,23.5864446128,35.0078923447,49.152639065,100.0,54.1676285989
HoeflerText-Regular,51.8316023294,38.4084038025,29.3827979787,85.4843367677,79.2225363449,29.191584603,48.2481459782,42.9428432897,32.0323832693,38.6203261491,35.4299009739,74.3029473539,78.7343969444,50.8132585801,77.5341884567,32.6933574265,69.4509547732,32.9859323486,63.9620846941,88.5972641308,44.3037154428,16.8927590613,88.1059742973,36.0888628293,33.2454369503,38.7116141997,12.680993379,39.882685141,59.1586554225,79.3753891107,63.2715798361
IM_FELL_English_Roman,42.7250337205,35.4517560209,19.2006109398,85.480339547,75.6212577086,49.7684511911,56.9983750608,38.3334050424,36.6858784342,59.0999274516,43.0648779802,63.2252797422,71.7918012558,38.9763454961,74.3838448166,36.4105633231,45.9380180136,53.1318286072,71.4973878907,66.7341429016,44.8596799828,19.3066032926,87.5763617678,31.8938682034,41.6323569118,34.1185628307,29.7953491289,34.4305533733,53.8449487312,80.2108696426,61.0371720832
IM_FELL_French_Canon_Roman,36.8428060315,30.9200478478,28.57586031,82.597839639,73.8194972826,46.0495954812,40.515304711,38.7394568125,32.1007888432,45.539386626,32.9925704857,80.7656088638,88.6842000195,48.253951901,67.4491885207,17.0439553221,56.9919183733,44.8917172541,63.4867724304,77.8525652682,50.1703513866,34.1887336277,74.9084818275,30.354875425,39.2058052963,12.0995557063,33.3671571961,30.2925013267,60.7232592738,79.2223737432,79.2538918079
Iceland-Regular,52.4603885265,60.9223238,33.6851411705,76.3424779638,49.1021775054,68.0750032655,30.0130291964,35.1230914717,57.0405133415,36.1645339539,53.4457452238,65.4235152028,65.7209901926,34.0236215542,45.6299377983,31.3860480159,33.0849223989,45.6262482968,48.2889233695,36.0360967329,44.4455952262,34.2002334512,83.7367620119,61.1208352155,46.2349100902,52.9673464012,55.4217383812,48.4503852713,65.1646247857,73.503253184,73.67172103
Inconsolata-Regular,15.0962093526,34.2029798757,10.0636001722,70.9615707722,48.1370417723,35.3252209957,28.3363031486,19.7147224781,17.5873310286,36.2676931585,35.094842485,84.0253942005,64.0380566925,28.7617273394,61.741216444,33.6235212834,10.1901594169,40.0417674792,44.2959855867,53.6364919895,48.9257027947,36.3621886569,78.3317563338,29.8050186895,71.2338790503,0.0,53.9750916995,23.4415748473,63.8596463508,71.3432444113,79.200557693
IstokWeb-Bold,37.8947401207,31.6381894499,14.5611098945,42.9594045631,62.9562209765,9.72904237169,75.1092152485,57.4779870063,16.5382735034,34.8647228536,23.1015045168,63.3554352454,84.1872511778,40.9553099958,89.7848353046,11.2318906965,80.680093014,35.8334974797,56.2095227013,71.1077713328,53.412192568,23.6031158516,79.0836458069,33.9008791253,50.8914155799,21.1304383268,30.056528827,28.979421008,41.1737928063,79.0171573432,49.6683762928
JosefinSans-SemiBoldItalic,29.3724296688,50.7968792727,34.7467623051,88.0402124996,53.645988488,79.0199492707,27.5083972647,28.0860464501,43.5613862169,37.1547976623,31.5582107717,74.4721864624,77.3146777931,36.8325903281,45.7988937291,38.9242497009,56.4722189082,58.0117930585,59.8715938136,45.7729694877,43.9093519132,47.6317878156,91.1529541761,37.5278010624,49.7772053246,13.7862799357,20.1703055581,37.3217094364,64.6900061556,84.5392504202,81.2309470077
Julee-Regular,59.8740276067,88.5952825214,79.1959436099,63.6770939875,59.0542294052,86.9650800424,21.9078207294,59.5438731711,94.7357662122,39.0408167073,73.5664833411,57.9863478724,73.8408751879,61.9658623224,48.6747608335,88.4022115908,55.5607107264,55.3558519898,66.736265929,10.6720287462,39.3112292658,72.0024630058,62.0240281715,71.630694349,33.3953382316,55.4962580875,59.7795981057,75.5100710781,59.7436760888,67.2613113954,72.2582334397
Jura-Light,31.1928630511,28.2621801439,39.0605900064,68.1755327299,56.8470463748,35.6536010621,20.3158650332,28.664481186,45.5507532817,0.394694008105,40.7271965141,77.4757964207,47.9244381021,31.4434370665,58.9524782712,33.2464355021,25.1811051656,50.6228460425,53.2876950759,49.2640795233,44.8376828,42.7148528348,69.7807715628,63.3053017909,44.8957895766,36.3493379833,57.1873823196,41.0549408416,72.6632400482,67.6355728464,77.7440579734
JustAnotherHand-Regular,40.8067758367,67.3953766825,100.0,4.95819919662,43.7352579827,40.6191929313,19.4994398201,29.0963552883,66.8142021312,25.0894370777,84.8367624245,52.697072166,63.1951319863,31.8983274723,10.1969826758,74.0590586863,37.7048825117,54.1372443395,42.5875243541,19.1862410546,29.9554289392,79.7170346961,56.4720311423,26.6703772167,86.9070756314,31.5147339482,100.0,41.9050375872,65.0825234999,42.5862859341,47.7654228012
KellySlab-Regular,70.6369559941,77.6061046671,62.4920106792,87.7974528055,74.8158390587,91.3241187022,49.4275414053,60.7111392147,78.6685076664,45.9245937548,75.812363618,57.7119777351,55.2190705884,45.7111558619,51.2298719074,48.7343117834,57.2337922241,56.4835423551,73.0225415413,42.6207569431,47.8409955689,44.5633910819,72.0801652575,100.0,36.2464803003,54.9679813515,46.8374435157,66.7352493821,57.0213353893,77.651709359,52.0489916588
Kenia-Regular,57.9857845496,51.5896350499,75.6591073157,28.1467557154,66.7659341227,54.4106587116,59.6672975951,51.0813719375,62.7826104672,49.1033425897,73.2461006535,53.348841362,50.3294522057,18.8336137745,4.71353949551,41.6961576258,64.1851712838,47.9489932116,61.6055132868,33.2133447846,41.8953087943,70.2786239544,44.9914776286,81.2496508606,69.7254701404,54.9432884345,64.2675015122,69.5859555814,36.2776744657,60.9050188488,34.770666949
Lato-BlackItalic,54.2810449949,43.2926497439,53.1054673012,62.8045087053,73.488996458,60.8510422761,64.7253256722,67.0286017507,48.6648006955,69.1604697233,45.5000810975,60.5632946913,66.8265669093,49.307417208,76.2847889693,40.6532483276,100.0,38.0378034633,70.2606767284,48.8761878046,50.4014668365,28.6856189225,75.5319435864,67.0202131492,32.451429001,52.7256506567,38.0679881625,51.3583667395,39.448137697,78.3850796861,35.4549715491
Lato-BoldItalic,41.5334859435,37.8760531593,47.6233699216,82.9072040008,77.8354909153,47.8594922945,67.2785062881,56.6345882744,52.984978275,68.9838085407,43.4672172421,64.9335838079,92.4480743072,51.3109446123,78.0175264105,52.3801412174,93.406900144,49.9988009179,62.173808038,60.8173266656,47.6292889596,29.5383324152,86.7929079023,42.1420999286,33.2149205026,48.4325466161,35.3472855961,44.6396531991,40.9263051794,96.7723072835,44.277605155
Lato-Italic,39.0824262229,40.5859032589,43.2146631356,70.9355490043,74.9684030689,41.9512060044,53.7328557707,44.8615011454,41.9196976077,59.8218898614,31.954761756,77.0491360087,78.0286006143,49.4553994268,69.9083748805,61.7163222449,70.2472069508,45.8225443437,73.7916419019,65.4517062146,44.3793168634,39.1646098233,86.6038163768,19.4153222204,38.9435946017,41.0928795362,35.0650693404,42.2684096483,54.2027660278,86.7848824926,82.2654337547
LeagueGothic,54.2083337357,36.5429697916,41.5844828177,47.8789937751,50.516545709,20.3520455972,54.0008094022,29.749792052,48.4977662987,27.3248376957,59.2837076689,63.7280434477,51.8295044176,18.3350104933,35.8375428657,36.6361807243,51.2090116905,38.4774965355,39.6245191383,49.1018438702,31.9224186293,45.5152797677,58.8888052105,49.3284100848,74.055708688,32.0067972727,59.6189435935,41.3687393903,49.3385500995,60.9447868808,49.387959266
Lekton-Italic,45.6129855747,36.2111155396,46.8257016607,75.4221101816,50.4463578809,77.5129819994,24.3025962351,21.525388486,48.1449666942,19.4168594275,31.7622741231,87.0042412047,59.6964785123,34.5433140139,51.1550784877,86.2772539398,34.2523275987,60.2515812529,45.4855424418,43.6147970803,42.2895576277,59.2795355604,82.1233513242,45.103793901,45.3313544903,13.325106278,52.9525282602,43.2986264069,75.2999200267,60.3602805288,68.5692747005
LifeSavers-Bold,47.3407869556,64.708624762,58.02250266,57.3404459743,61.0244399266,50.2585478524,34.3514611671,48.6613121304,59.2954776665,39.9995717763,65.9364180085,68.9938891138,72.455127207,61.0963164559,38.8603496259,45.102140266,68.9307676755,47.6439984955,67.2737327745,33.1281874105,50.8380896381,58.9011947512,76.1887176063,48.8867928612,45.7752963522,34.9714488792,50.398184837,44.4425048203,60.451448522,84.9606684606,67.1286530814
Lobster,68.711793024,70.608426534,60.4117075991,42.7109917874,89.6969296364,49.0978327769,58.7469966975,81.7166712148,90.727515429,83.6831456117,100.0,59.0818184253,77.2523414184,78.9319771573,42.2416272464,56.4434413438,84.4917938752,57.551983469,92.2390231421,53.602785715,44.2279272865,38.6107187795,79.1260111911,52.1377567972,20.4388385975,71.6258012624,27.0842073525,86.7971077271,34.3098629248,88.6141448581,59.0121646349
LobsterTwo-Italic,68.8409569045,85.4730978002,48.1370530124,62.4637746498,100.0,68.6833020848,55.6400510909,64.0607997438,87.738282245,72.8725825988,78.1791210826,60.6991915383,89.9158372701,82.7769938795,48.1636766164,64.1787596335,72.1563447296,65.5149786041,77.3742134122,54.1283743522,46.3801519211,57.3513674928,72.2041280143,58.5690570907,25.8956398101,85.6406158672,14.3645525617,73.8833136704,49.4918008157,91.2331555717,65.2286020499
Lora-BoldItalic,79.6063123857,77.0164552173,38.6157375432,49.3772620227,82.8074038656,41.2524913009,71.0672000771,71.0203254168,67.7549301577,83.3587508788,67.3478732681,67.0384684559,82.4050174684,85.5217340916,86.5379619277,52.3694513079,99.619669265,54.3591110379,83.8227803595,53.8664180563,51.7454965183,40.8775862425,79.7698876107,59.4078537847,19.5638717409,81.103425452,18.3934182047,80.756032191,44.226437807,99.8734564929,59.2849457979
LucidaSansStd,15.7547110625,34.3388590156,41.4423650593,84.9674976883,62.5562678696,34.4748726826,52.1428441657,39.5655715876,18.9263517921,39.9030980139,20.4925714704,78.3493106895,75.6633007843,43.3499743229,73.7358053937,35.8980506473,67.4468447607,29.6543734385,64.671824056,63.1030548615,53.1015234313,19.9006606645,86.035018988,15.2833205025,54.0920092986,21.3761391366,28.0709190936,19.2738416128,52.1069527385,74.1887482696,55.0416984655
Magra-Bold,24.5268818308,35.1783840573,37.2325602646,35.0085956166,66.033847404,19.7586046612,83.722231975,52.1688778757,25.7192105658,54.6820059536,33.1875478471,61.5651612479,59.2812343773,46.0432793881,66.4747298257,5.54807764198,78.0451359223,42.8883572856,54.1421803504,62.1754165537,47.8442596691,23.7553751794,74.3274257914,26.4332803835,44.9766812646,52.5080569598,41.8331289779,48.3792572686,33.4296184278,76.823560572,48.2753556541
MarckScript-Regular,69.6242948725,93.2237395568,61.2522099526,56.7853625615,79.8449790207,86.5876678499,23.9851863039,61.5720469658,77.149044763,70.6222980362,68.7495874919,66.8509191433,88.7001908943,90.3224009838,42.8809144339,83.3636316284,79.2768623164,65.5402627198,82.9304075501,50.8554678553,41.4456136915,58.7595651192,67.4935167042,41.4466222094,23.1924093739,61.3492093433,42.9458437223,80.3116419179,68.96712264,76.5506167972,92.4482226801
Marvel-Bold,43.190627148,30.8860855568,20.2554592701,64.191470096,55.9084852211,46.433004916,36.9795294478,35.1247610199,27.072549075,39.0769913142,28.7309561283,78.0374948947,85.6725630206,43.6806088638,43.6100393073,24.5187823592,33.9784412469,52.9148520956,51.7931294562,61.1004464113,0.0,20.6914249718,73.0346798453,3.64680389811,66.5985564751,22.6490302262,41.1534073653,18.571556382,69.3322285538,87.9016139292,79.6234581882
Marvel-BoldItalic,42.9778452452,54.1427529448,33.5732925493,78.4039809723,46.894317861,66.6951270809,36.0803222851,32.6793172197,44.3977038646,36.7976259964,52.3216159661,73.8614379775,71.6287147186,44.5175925503,74.1733227593,60.9244347154,48.1551005617,46.636558037,51.9049569704,64.431405794,39.7441136859,35.8611077485,76.430843027,5.51335652997,61.4465161129,11.9928915738,43.6412283201,37.4625297459,63.5319168045,74.3433046205,79.0980342507
MavenProBlack,43.2225663564,31.38153259,38.7033205094,53.7812737169,55.9424934306,30.6227619504,72.89726752,66.2999794722,34.3167100528,55.1623614932,53.3430432708,61.8258193433,62.0028286499,50.0376828684,64.1585349548,41.5275077574,56.1299117077,29.469251916,54.7344685804,48.1121210563,54.8750579666,39.8920125371,77.0563579904,27.0906143602,56.2185042373,59.777906656,33.6984812173,53.6619881045,47.2812351755,68.2845476642,48.578791711
Megrim,77.7347268686,68.6923985509,71.5049040734,38.2307413365,10.4905065808,69.7806242217,1.80146443096,35.5319927083,61.9761524594,0.0,69.7788642405,60.7839486969,31.1059736834,31.0250993224,1.76088134109,52.584011072,37.2277289006,53.3241109801,46.7299423788,28.4882015711,50.6121427166,81.4998057,54.8168115926,71.4551885793,70.9560931072,28.9902325047,96.1018081903,62.0554810181,82.0473274804,64.6485356789,59.5584855351
MergeOne-Regular,0.925318281567,50.0952321309,64.98550215,0.510150021604,10.0516596377,0.0,31.794537063,28.3784584787,17.2796371023,0.860206355064,52.4450217539,48.1966774951,0.0,4.06138810071,10.9567119702,26.9653370419,27.4503806657,5.42821075638,0.0,13.0912742273,46.9176561538,62.4873858875,37.4322025815,41.057068818,100.0,7.59665093651,65.188328315,35.9203638137,56.1924942286,48.7534455554,42.9005751323
Merriweather,37.2221144653,26.8184295814,28.3100368693,75.6825182378,60.8420105015,37.4954623481,63.2425018925,43.5676968117,23.6429855774,52.0974021119,41.0366643858,69.8336552382,76.9647124509,46.441066831,69.1300831211,17.0800319842,52.4923862311,44.1249025737,57.3650741922,77.8266991184,52.7741507558,16.5191524063,94.6108435502,56.0565783482,52.7225586061,39.0969585705,30.7808801738,29.6240728508,59.3035098012,75.626941739,64.9518570353
Merriweather-Bold,34.1255486299,38.8670496539,23.6064014169,65.5434696205,72.5832777487,50.5290091195,69.7936976225,55.0347876218,14.874789309,56.1595167921,37.5148836257,62.3332011346,67.1687341957,38.5739029369,90.3409378329,31.6008611809,83.2409699883,31.9800983657,62.7343003305,63.6331671576,57.0919918805,23.9665101094,80.7869642379,50.0256151219,36.6746863772,61.4810418816,33.0873951634,28.5766837604,41.5424953343,81.4030220728,34.1496125861
MervaleScript-Regular,67.6182623351,89.408589961,67.2798275304,80.3032866476,77.3142412818,87.5107132805,28.7962515475,54.9718584477,94.3882562947,71.8249781151,91.2941602039,59.090684737,65.5186480296,45.4122433765,41.0774327361,100.0,56.8676689956,65.1698408347,89.552373876,49.0945605057,35.5178104217,58.2944765216,76.2164882489,81.5391302593,32.0047310143,62.7525590683,43.7526885393,71.9384687975,60.8184888081,60.7379360588,67.4634884246
Milonga-Regular,62.9740530655,60.8713984078,20.3088111212,65.739348335,90.7014323933,31.0045970987,51.4167790074,66.2572547715,82.8082004195,66.0440032266,70.6447172257,70.6597215208,92.032762647,74.1603685494,83.1466912498,72.7457842971,68.7954782128,64.894338467,79.8829856236,55.2198873039,52.8980445818,44.4062416465,86.3100264026,63.1223077889,18.2237150659,50.4063875361,23.0575340146,69.9486775899,60.5165248227,93.9305590087,76.5747664114
ModernAntiqua-Regular,55.8852879473,58.2197767991,51.5748448201,67.0281384669,81.7861496556,47.5026624207,47.9553087529,45.9087643112,47.7385122591,55.3147797798,54.77687682,62.9707988999,61.9020043798,53.5103601744,60.0379504213,50.7203138881,71.3014425008,47.8070048406,74.8744663884,47.0610450421,52.9797815611,52.2012019777,84.0033709506,52.0421641632,39.1006536336,55.5142246962,34.8272746902,74.159781545,57.3166326977,83.1374332081,60.9557068366
Montez-Regular,67.789280862,61.5668568273,69.179669431,49.0910315212,64.6692468941,56.2659295702,0.0,46.7910330371,87.4500764455,61.5734486418,92.859790572,64.3953121484,69.2573978786,62.7072763395,0.721503101971,56.7913414825,40.50556855,69.3663253436,82.5290465208,31.1318292391,35.7927256337,71.5527744911,79.6625192609,63.8932796272,38.3207114473,50.0393474571,54.182962521,64.4754638983,71.1931739095,52.3921765164,100.0
Muli,18.4045970914,20.7158384035,13.8937284788,94.8538515092,66.4031313438,35.229858969,63.5075277661,19.7465955622,17.6194573809,35.0343801942,16.9968951746,83.2966930215,82.4586227875,38.4177881644,72.4698526795,16.2751176475,49.5399917418,48.006540298,45.4212290996,74.1059702376,50.277115854,20.3875074008,79.5977075723,4.9187099537,50.2631081685,17.3887802634,35.8283874741,6.70370401081,55.9167486358,82.8842053787,77.8226654771
Muli-Light,7.66013014069,0.0,22.2843694522,78.4882189072,57.7663330735,50.9146645741,23.4084948204,22.2188090206,19.1776383823,17.2054009669,18.2757964936,82.6073822748,67.0917008838,12.0734528907,70.2775005437,24.4939964703,26.902800755,47.3289831193,55.0054865175,73.7286945876,49.1155561445,21.3296561325,83.8129372978,0.0,61.7244821482,4.81278269472,24.998573598,25.9779366077,60.5488142691,83.8673917019,83.7986566914
NanumGothicCoding-Bold,31.6608391468,51.6151568479,51.3233562086,38.6823236842,55.8406345495,17.778420218,55.4737130986,47.8247641742,40.1866126775,44.531793123,42.2188192792,73.1444763249,63.1162840896,46.001278691,48.1477546322,20.8236434625,68.2278838608,41.7572601493,61.8689471576,60.7904359764,45.8789473298,43.0300427074,65.135136507,48.9381384879,59.3141603016,48.0291372905,37.9147589287,36.7177651885,38.9660161937,77.6500948067,51.7228652947
Neuton-Light,28.8815691613,30.6714125775,14.1430108304,76.646924349,64.8848172437,8.91732076968,37.5200837023,22.381572336,35.7925511071,31.4856562405,27.8363217652,80.1075133665,74.8274052641,32.4278806936,73.7577443482,36.1739172289,41.0278365407,57.1033085793,56.5816735486,80.5094438229,42.5696533838,16.0159077762,88.8685727101,10.7272225593,67.3175903681,23.5439074665,19.1018096753,12.0352707735,65.0293526316,74.8948108441,88.7805674448
Niconne-Regular,79.6998673925,81.3601464317,57.1117070994,70.283122221,93.7201962357,66.2695453834,38.2340643452,60.5841623275,75.3649050773,83.8111678846,74.1010162724,67.8692245451,98.1502172899,68.4162968551,50.4293593654,64.9310726039,69.2402248345,78.18034717,86.9065213426,47.8034864448,34.0182521061,45.7332444077,81.853085804,83.6891795101,28.7991046654,83.7436247828,37.0941240903,74.0638817675,64.3393291654,82.8688268841,79.4509885209
Nobile-Medium,34.6237211982,38.126199968,33.7119216068,73.6148475183,55.8859802995,18.8905197982,71.0241405909,51.5824326791,11.7990115748,44.2918092626,44.9747650149,61.6275413624,67.7389114142,44.1779201157,83.3374647085,25.7445101238,87.6276640172,42.8087445243,61.1681202442,78.8651209571,53.9599506842,29.5748391671,76.8766210461,30.7393824516,53.9550857488,27.7366259803,34.2895821404,40.2908483772,39.3401681923,86.8055363276,51.3919281667
Nobile-MediumItalic,39.2683216063,32.9700538807,30.4629882633,73.0396213935,74.7617673128,53.5134279432,51.1669461087,40.2957491823,29.9329163807,50.1884888138,31.4038394664,71.5889756549,83.8524408633,59.8438821169,73.3961713433,52.4402093585,64.8004682608,44.4838825976,52.6125307129,76.8063543269,48.4654524627,34.2003217734,83.7531673344,38.0249768662,56.8262318655,31.7101260827,27.6022647888,37.8518180535,50.3041380584,82.9821857753,73.1241001538
NovaRound,33.2173823187,64.9925146723,50.3438509378,49.3658876242,72.0598014415,43.1824863627,50.7040908731,52.2699260956,41.1684836785,40.7879041587,55.1235943842,71.3682150269,63.4106883612,65.7146942296,58.8911646787,41.5271045996,64.2418321266,45.4714025193,66.3984837025,54.5716727835,49.8098783818,56.7243870643,76.7263604763,51.6990870834,52.8589697677,42.825856666,43.7415286254,61.0680658125,53.9311475677,75.3612947522,74.5096872976
OFLGoudyStMTT,45.379577286,25.2907546809,14.3889869464,74.9588994234,50.1900413487,35.9966260632,40.1480978065,40.173484452,42.8076846707,47.3788131535,13.1443400205,100.0,91.968880303,48.9537425796,78.1095201782,13.5263912221,54.904680736,42.5403373445,56.1814260737,79.5770730217,49.1363049383,25.9981860216,79.1850048008,35.0840897758,54.3797269052,33.3138572424,12.2367594605,24.3193002763,63.0532828213,74.268247144,81.9333769129
OldStandardTT-Regular,32.7088930025,30.5978680877,6.44692126201,76.0472074072,67.5426961154,22.1569348813,33.4426103409,37.7362667303,44.3548299153,36.5498823141,30.7961783072,73.5011526101,64.1723372046,38.2258852585,73.0336260901,22.91713206,45.2085471662,70.9924062935,60.6527319818,75.8463633995,42.6718961188,31.2086786957,97.8921302417,32.4178781879,56.3787293669,33.1758300213,19.4991291084,30.447163367,60.9268185183,80.2445198063,77.6918628855
Oldenburg-Regular,53.2578138421,46.4158586957,27.7365770667,54.8013165141,69.803502404,52.1862309892,63.6670293999,51.9800029958,41.6412808631,60.276236851,46.4433976472,72.9508241393,76.7053032746,45.0662305024,78.7037344179,41.9631383397,69.2123295044,46.7357326344,61.7123650739,65.3197301598,54.1750321736,22.877455385,84.8805005443,68.8618329434,54.1716351736,43.5173556004,31.4403656625,34.2465196397,54.4793245844,91.8887934022,75.9547386406
OpenSans-CondensedLight,24.7268039048,37.741213056,35.7179157225,74.3507094631,58.6258997141,20.8869927393,33.1219080338,5.35746241908,19.1192853241,19.0425575153,24.2042020241,84.7936221886,78.8755779704,26.5825280438,60.398984647,43.8180410503,18.4298600765,50.3274297775,36.5710144369,70.9350821991,34.7504905603,24.2261198522,80.2211191456,37.5946204406,74.8652646873,5.68817675443,40.6960430823,21.5988802289,67.9402218531,59.9641219886,89.362937085
Oranienbaum-Regular,29.6611564564,28.781749111,25.1419563912,81.62213131,66.2182601376,38.7275692764,42.6034294468,21.3884461791,34.1188261844,27.5292552703,29.5054364607,75.7808238334,76.5243454361,52.9395157827,65.4340307687,19.2419909695,71.9461673065,52.7823984679,54.0300526648,82.3741847951,39.1794243997,20.2275068065,92.0992705723,32.8536016008,31.0150225301,38.5486097076,26.5290923704,33.4639106503,66.934582721,88.6952373501,66.4189047612
Orbitron-Black,46.5930950455,50.5917474496,63.9785913654,52.9803168471,42.9823716106,44.0081239577,83.1238889734,60.4419571596,51.9935179018,52.1815351169,72.5607000216,40.1417390906,41.3224264533,28.9391697627,44.8553168902,27.8938271003,68.8063857652,26.3674858656,46.2699611437,39.6056221194,57.6808654941,53.6565653685,68.8003343258,60.7332268258,59.0916696002,60.4927140675,71.8364323611,67.2284579155,28.3734975657,71.184649944,17.568283979
